airline pilot
bank employee
bank manager
bank teller
book publisher
booked ticket
burglar alarm
cash machine
cash point
club membership
customer service
driverless vehicle
fire alarm
flight attendant
government policy
houses of parliament
in-store purchase
magazine owner
magazine publisher
member area
paperback writer
public area
public transport
school pupil
school teacher
shop assistant
shop keeper
shopping mall
staff member
stock market
stock trader
ticket booking
university lecturer
university student
